project_match_id,member_count,source_count,sources,country_iso3,year,member_record_keys,group_basis
PM-DD69DF1E4B801B,2,2,aiddata|chapo,NGA,2020,aiddata:92953|chapo:92953,direct_reference
PM-E96A721843BA54,2,2,aiddata|chapo,NGA,2020,aiddata:92957|chapo:92957,direct_reference
PM-C114AB17D9FDE7,2,2,aiddata|chapo,NGA,2021,aiddata:92995|chapo:92995,direct_reference
PM-F996E1AD437E21,2,2,aiddata|chapo,NGA,2021,aiddata:93028|chapo:93028,direct_reference
PM-68493DC02A5B76,2,2,cla|codf,NGA,2023,cla:NG.034|codf:NG.034,automatic_high_confidence
PM-07F8B9CFDFB7D5,2,2,aiddata|chapo,RWA,2006,aiddata:56850|chapo:56850,direct_reference
PM-AEF3F5CEE1EBB3,2,2,aiddata|chapo,RWA,2007,aiddata:24282|chapo:24282,direct_reference
PM-C924C6C1123DFB,2,2,aiddata|chapo,RWA,2007,aiddata:1897|chapo:1897,direct_reference
PM-6CF3A5ECF8D408,2,2,aiddata|chapo,RWA,2008,aiddata:1984|chapo:1984,direct_reference
PM-59CFAF5996FAF9,2,2,cla|codf,RWA,2009,cla:RW.001|codf:RW.001,automatic_high_confidence
PM-700AFF48F868B9,2,2,aiddata|chapo,RWA,2009,aiddata:34176|chapo:34176,direct_reference
PM-9BE01594704EB0,2,2,aiddata|chapo,RWA,2009,aiddata:2016|chapo:2016,direct_reference
PM-D09830FEF9DFA9,2,2,aiddata|chapo,RWA,2011,aiddata:35807|chapo:35807,direct_reference
PM-06E68C9FB59868,2,2,cla|codf,RWA,2012,cla:RW.006|codf:RW.006,automatic_high_confidence
PM-3BD4D3FB1BDF64,2,2,aiddata|chapo,RWA,2013,aiddata:30392|chapo:30392,direct_reference
PM-89500064D1D282,2,2,aiddata|chapo,RWA,2013,aiddata:35805|chapo:35805,direct_reference
PM-2CC7E349269207,2,2,aiddata|chapo,RWA,2015,aiddata:53368|chapo:53368,direct_reference
PM-0F003FD35B1A98,2,2,aiddata|chapo,RWA,2016,aiddata:53267|chapo:53267,direct_reference
PM-B329A4701304E3,2,2,cla|codf,RWA,2016,cla:RW.020|codf:RW.020,automatic_high_confidence
PM-A401D78F08F965,2,2,aiddata|chapo,RWA,2017,aiddata:53367|chapo:53367,direct_reference
PM-BF817B4801C936,2,2,aiddata|chapo,RWA,2017,aiddata:56834|chapo:56834,direct_reference
PM-0E84B70D4342A5,2,2,aiddata|chapo,RWA,2018,aiddata:57660|chapo:57660,direct_reference
PM-6E45687468E8CD,3,3,aiddata|cla|codf,RWA,2018,aiddata:53369|cla:RW.021|codf:RW.021,human_confirmed
PM-9C886DCCE1C559,2,2,cla|codf,RWA,2018,cla:RW.022|codf:RW.022,automatic_high_confidence
PM-B1B640BB0C3BD0,2,2,aiddata|chapo,RWA,2019,aiddata:88212|chapo:88212,direct_reference
PM-838FE0BC64D581,2,2,aiddata|chapo,RWA,2020,aiddata:92431|chapo:92431,direct_reference
PM-914603B49B1417,2,2,aiddata|chapo,RWA,2020,aiddata:92438|chapo:92438,direct_reference
PM-A8B0C6209F2DB4,2,2,aiddata|chapo,RWA,2020,aiddata:92423|chapo:92423,direct_reference
PM-B0DC0BAC88B88E,2,2,aiddata|chapo,RWA,2020,aiddata:92421|chapo:92421,direct_reference
PM-B1BEB5798231DA,2,2,aiddata|chapo,RWA,2020,aiddata:92429|chapo:92429,direct_reference
PM-C746652F02DB48,2,2,aiddata|chapo,RWA,2020,aiddata:92419|chapo:92419,direct_reference
PM-E1BAE675C5693C,7,6,aiddata|cgef|cgp|cla|codf|cofi,RWA,2020,aiddata:52337|cgef:RW.024|cgp:RW.001.1|cgp:RW.001.2|cla:RW.024|codf:RW.024|cofi:RWA2023001:debt,human_confirmed
PM-EB4216AA9BF8BC,2,2,aiddata|chapo,RWA,2020,aiddata:97875|chapo:97875,direct_reference
PM-ED8FCCBED17F1E,2,2,aiddata|chapo,RWA,2020,aiddata:92422|chapo:92422,direct_reference
PM-EEE77D12E444F4,2,2,aiddata|chapo,RWA,2020,aiddata:98163|chapo:98163,direct_reference
PM-72BFE09B414978,2,2,aiddata|chapo,RWA,2021,aiddata:96612|chapo:96612,direct_reference
PM-8E4A27EAA7C80D,2,2,aiddata|chapo,RWA,2021,aiddata:96548|chapo:96548,direct_reference
